Data set dimensionality
Number of classes
Number of features
Number of instances
Equivalent number of features
Maximum mutual information
Mean mutual information of class and attribute
Mean normalized feature entropy
Noise-signal ratio
Normalized class entropy
Mean kurtosis
Mean absolute linear correlation coefficient of all possible pairs of features
Mean skewness
